Date,Open,High,Low,Close,Volume (BTC)
2013-07-19,83.7,87.1,83.4,85.42,4763.50739456
2013-07-20,86.0,87.2,84.27,85.04,1185.84085539
2013-07-21,85.52,86.4,84.0,85.84,2295.84782547
2013-07-22,86.04,87.1,83.99,86.18,1822.89536246
2013-07-23,86.22,88.67,82.99,86.87,2751.39615698
2013-07-24,86.91,95.68,86.46,88.39,1683.08152969
2013-07-25,88.06,91.99899,87.15,89.89,3391.61340189
2013-07-26,89.79,91.72,89.2,89.95,835.71673165
2013-07-27,90.04,90.11,87.8,88.01,1439.30444454
2013-07-28,88.24,94.0,87.92,93.05,3477.00690759
2013-07-29,92.47977,93.73,90.54,92.85,2652.52280634
2013-07-30,92.7,97.72,92.7,97.41,3755.42686437
2013-07-31,97.99,101.03,95.1,98.46,5622.56213086
2013-08-01,97.72,98.24265,95.21,96.59,3545.52938447
2013-08-02,96.56,98.7,93.75,96.33,5492.99320438
2013-08-03,96.7,97.23,94.67,96.22,2285.4780403
2013-08-04,96.15,96.7,95.83,96.38,937.93472879
2013-08-05,96.7,98.91,96.21,97.6,2997.7509831
2013-08-06,97.8,98.9,97.0,97.83,2604.84095095
2013-08-07,97.83,98.3,95.5,97.17,1557.65339526
2013-08-08,96.94,97.14,91.4,95.25,5268.49395574
2013-08-09,95.18,95.51,89.51,92.28,5259.31927884
2013-08-10,92.28,94.0,92.14,93.7,912.33564272
2013-08-11,93.7,94.52,93.2,94.51,428.14419434
2013-08-12,94.49,96.24,93.31,94.8,3033.15167682
2013-08-13,94.67,98.2,94.53,97.59,3710.83380467
2013-08-14,97.46,101.0,97.36828,99.13,7718.30260671
2013-08-15,99.12,100.01,96.24,98.46,1751.06382402
2013-08-16,98.54,99.0,96.53,98.22,1942.45525098
2013-08-17,98.22,100.0,97.5,99.04,1735.72947454
2013-08-18,98.52,99.75,98.42,99.43,757.95953601
2013-08-19,99.25,105.0,98.82,102.99,7068.60837
2013-08-20,102.99,106.49,100.48,106.35,5052.04036882
2013-08-21,106.14,114.45,105.0,110.55,8480.41252642
2013-08-22,110.76,113.01,107.99,109.39,3894.31855649
2013-08-23,109.39,110.0,104.3,107.42,5235.64818849
2013-08-24,107.42,110.6,106.61,109.27826,2746.59355714
2013-08-25,109.27826,114.76,109.27826,112.86,6030.70726691
2013-08-26,113.23,113.9,110.0,112.75,4238.88838173
2013-08-27,113.0,119.0,111.77,118.47,8744.51605411
2013-08-28,118.36,119.76,116.0,117.54,3645.11403308
2013-08-29,117.4,121.0,117.4,119.12,2619.25770623
2013-08-30,118.88,126.3,118.05,125.28,9776.67055583
2013-08-31,125.0,134.94,123.75,130.01,12841.2380252
2013-09-01,130.01,132.0,126.98,130.54,1638.43650068
2013-09-02,130.65,132.05,128.0,129.4,4211.10894621
2013-09-03,129.92,131.0,126.9,129.6,3644.26190212
2013-09-04,129.61,129.92,115.0,117.15,10127.3912745
2013-09-05,117.0,127.99,116.39,122.28,6593.00692535
2013-09-06,122.48,124.75,115.0,117.27,6029.17292765
2013-09-07,117.21,121.10889,115.6,119.8,2501.57438159
2013-09-08,119.8,120.67,116.77,117.72,2948.58676097
2013-09-09,117.4,124.0,115.98561,121.79,8124.23444315
2013-09-10,121.16,124.24,120.07,122.07,3446.0334376
2013-09-11,122.34,127.79,118.39,127.02,10030.1401836
2013-09-12,127.76,128.5,123.0,126.37,4567.1041972
2013-09-13,126.44,129.11,126.06914,127.78,2209.78218774
2013-09-14,127.89,127.98,122.53,123.77,3586.17940141
2013-09-15,123.501337,126.35,123.15,125.75,1925.9661572
2013-09-16,125.55,126.84,124.0,125.8,1680.75228094
2013-09-17,126.38,127.74,125.32,126.79,2024.113268
2013-09-18,127.08,128.41,125.78,127.05,3762.89266004
2013-09-19,127.09,127.63,123.39,124.71,3829.67689167
2013-09-20,124.9,125.66,121.5,122.45,3562.6993076
2013-09-21,122.0,124.02,122.0,123.0,929.21389091
2013-09-22,123.32,123.64,122.22,123.31,1080.62143229
2013-09-23,123.49,124.09,122.0,123.35,2612.79957377
2013-09-24,122.6,124.38,121.89,124.38,2970.42383538
2013-09-25,124.48,125.22,123.3,124.55,1900.58157176
2013-09-26,124.22,125.02,123.32,124.2,1070.39429452
2013-09-27,124.37,126.92,124.37,126.58,2625.30062615
2013-09-28,125.97,127.05,124.8,126.56,2644.01085274
2013-09-29,126.9,128.8,126.0,126.54,2792.71270427
2013-09-30,126.69,127.51,123.76,126.05,3046.06545273
2013-10-01,125.99,127.9399,125.95,127.43,2411.90596931
2013-10-02,126.99,128.5,83.26,105.3,41044.2840685
2013-10-03,104.0,118.95,103.5,118.95,9281.02760572
2013-10-04,118.95,123.25,117.81,121.9,6289.75018936
2013-10-05,121.84,125.0,115.0,121.01,1345.88078965
2013-10-06,121.51,122.9,121.02,122.9,462.21231791
2013-10-07,122.87,124.45,120.8,123.68,4508.93234913
2013-10-08,124.16,125.16,122.02,124.9,4897.28685296
2013-10-09,124.98,127.99,123.36,125.94,6879.29500662
2013-10-10,126.5,126.9,125.0,126.54,1907.92580186
2013-10-11,126.54,127.44,125.54,126.95,2188.38996088
2013-10-12,127.4,127.96,126.65,127.6,1608.85567702
2013-10-13,127.89,133.4,127.55,133.14,6272.95324948
2013-10-14,133.08,139.99,132.0,136.12,12137.2224035
2013-10-15,136.12,150.0,134.09,144.6,11536.8659684
2013-10-16,145.29,147.0,137.21,137.71,14867.2734894
2013-10-17,137.48,144.98,133.99,143.5,5376.3127726
2013-10-18,143.5,155.25,143.25,153.21,14548.0792196
2013-10-19,153.66,178.5,151.5,165.55,20339.6829275
2013-10-20,165.11,168.875,162.31,166.8,4124.20446893
